student_id,total_score_a,total_score_b,grade
142,100,100,A
143,58.2,58.2,C
144,87.9,87.9,A
145,86.2,86.2,A
146,86.1,86.1,A
147,58.9,58.9,C
148,62.3,62.3,C
149,100,100,A
150,83.5,83.5,B
151,90.2,90.2,A
152,94.4,94.4,A
153,85.4,85.4,A
154,100,100,A
155,100,100,A
156,92.4,92.4,A
157,100,100,A
158,79.6,79.6,B
159,54.8,54.8,D
160,93.2,93.2,A
161,72,72,B
162,95.8,95.8,A
163,100,100,A
164,75.8,75.8,B
165,97.4,97.4,A
166,100,100,A
167,100,100,A
168,100,100,A
169,72.2,72.2,B
170,72.9,72.9,B
171,63.2,63.2,C
172,66.2,66.2,C
173,75.6,75.6,B
174,100,100,A
175,75.5,75.5,B
176,89.5,89.5,A
177,89.2,89.2,A
178,100,100,A
179,92.9,92.9,A
180,100,100,A
181,100,100,A
182,84.7,84.7,B
183,80.1,80.1,B
184,100,100,A
185,75.9,75.9,B
186,100,100,A
187,96.5,96.5,A
188,97.2,97.2,A
189,58.2,58.2,C
190,52.2,52.2,D
191,70.1,70.1,B
192,100,100,A
193,89,89,A
194,44.1,44.1,D
195,80.5,80.5,B
196,92.5,92.5,A
197,65.4,65.4,C
198,93.9,93.9,A
199,99.8,99.8,A
200,53.2,53.2,D
201,85.9,85.9,A
202,100,100,A
203,100,100,A
204,99.4,99.4,A
205,63,63,C
206,70.2,70.2,B
207,90.5,90.5,A
208,83.7,83.7,B
209,98.1,98.1,A
210,100,100,A
211,95.5,95.5,A
212,100,100,A
213,100,100,A
214,90.2,90.2,A
215,87.9,87.9,A
216,100,100,A
217,83,83,B
218,97.4,97.4,A
219,70.6,70.6,B
220,83.7,83.7,B
221,100,100,A
222,46.4,46.4,D
223,100,100,A
224,63.1,63.1,C
225,87.4,87.4,A
226,100,100,A
227,65.7,65.7,C
228,54.2,54.2,D
229,69.5,69.5,C
230,100,100,A
231,79,79,B
232,100,100,A
233,81.5,81.5,B
234,85.8,85.8,A
235,100,100,A
236,100,100,A
237,53,53,D
238,96,96,A
239,81.2,81.2,B
240,100,100,A
241,55,55,C
242,81.5,81.5,B
243,72.7,72.7,B
244,100,100,A
245,55.6,55.6,C
246,91.1,91.1,A
247,80,80,B
248,71.4,71.4,B
249,100,100,A
250,89.5,89.5,A
251,74.7,74.7,B
252,100,100,A
253,100,100,A
254,94.1,94.1,A
255,38.9,38.9,F
256,69.5,69.5,C
257,100,100,A
258,60.4,60.4,C
259,98.1,98.1,A
260,100,100,A
261,77.7,77.7,B
262,81.2,81.2,B
263,57.8,57.8,C
264,63.8,63.8,C
265,69.4,69.4,C
266,68.7,68.7,C
267,100,100,A
268,57.2,57.2,C
269,69.3,69.3,C
270,83.5,83.5,B
271,100,100,A
272,69.7,69.7,C
273,100,100,A
274,90.1,90.1,A
275,78.1,78.1,B
276,100,100,A
277,76.2,76.2,B
278,69.6,69.6,C
279,77.6,77.6,B
280,82.4,82.4,B
281,89.1,89.1,A
282,100,100,A
283,100,100,A
284,43.9,43.9,D
285,100,100,A
286,54.5,54.5,D
287,62.1,62.1,C
288,100,100,A
289,85.6,85.6,A
290,80.8,80.8,B
291,92.4,92.4,A
292,71.6,71.6,B
293,74.5,74.5,B
294,87.5,87.5,A
295,89.9,89.9,A
296,80.4,80.4,B
297,94.9,94.9,A
298,92.6,92.6,A
299,95.8,95.8,A
300,100,100,A
301,62.9,62.9,C
302,81.1,81.1,B
303,100,100,A
304,100,100,A
305,87.6,87.6,A
306,88.1,88.1,A
307,100,100,A
308,77.1,77.1,B
309,80,80,B
310,100,100,A
311,90.6,90.6,A
312,95.9,95.9,A
313,99.6,99.6,A
314,100,100,A
315,100,100,A
316,82.2,82.2,B
317,100,100,A
318,79.8,79.8,B
319,94.6,94.6,A
320,84.1,84.1,B
321,85.3,85.3,A
322,87.2,87.2,A
323,80.3,80.3,B
324,100,100,A
325,71.6,71.6,B
326,75.5,75.5,B
327,98.6,98.6,A
328,100,100,A
329,100,100,A
330,97.9,97.9,A
331,90.5,90.5,A
332,41.3,41.3,D
333,93.3,93.3,A
334,81.3,81.3,B
335,100,100,A
336,97.8,97.8,A
337,56.7,56.7,C
338,81.2,81.2,B
339,99.9,99.9,A
340,94.6,94.6,A
341,72.9,72.9,B
342,80.6,80.6,B
343,97,97,A
344,89.4,89.4,A
345,79.7,79.7,B
346,100,100,A
347,59,59,C
348,56.9,56.9,C
349,79.9,79.9,B
350,91.5,91.5,A
351,100,100,A
352,100,100,A
353,87.3,87.3,A
354,87.4,87.4,A
355,88.3,88.3,A
356,68.8,68.8,C
357,94.7,94.7,A
358,76.4,76.4,B
359,100,100,A
360,72.1,72.1,B
361,83.7,83.7,B
362,100,100,A
363,85.1,85.1,A
364,89.5,89.5,A
365,95.4,95.4,A
366,82.5,82.5,B
367,77.5,77.5,B
368,89.9,89.9,A
369,93.3,93.3,A
370,80,80,B
371,96.4,96.4,A
372,95,95,A
373,100,100,A
374,100,100,A
375,100,100,A
376,82.4,82.4,B
377,92.2,92.2,A
378,100,100,A
379,100,100,A
380,60.4,60.4,C
381,76.5,76.5,B
382,88.7,88.7,A
383,33.8,33.8,F
384,67.3,67.3,C
385,87.6,87.6,A
386,92.1,92.1,A
387,85.4,85.4,A
388,100,100,A
389,100,100,A
390,97.6,97.6,A
391,54.1,54.1,D
392,85.8,85.8,A
393,63.1,63.1,C
394,100,100,A
395,100,100,A
396,89.6,89.6,A
397,58.6,58.6,C
398,100,100,A
399,81.5,81.5,B
400,100,100,A
401,67.2,67.2,C
402,67.8,67.8,C
403,87.4,87.4,A
404,90.2,90.2,A
405,64.9,64.9,C
406,88.6,88.6,A
407,81.3,81.3,B
408,88.5,88.5,A
409,85.6,85.6,A
410,91.5,91.5,A
411,100,100,A
412,66.4,66.4,C
413,54.3,54.3,D
414,100,100,A
415,89.6,89.6,A
416,89.2,89.2,A
417,100,100,A
418,96.3,96.3,A
419,100,100,A
420,90.5,90.5,A
421,100,100,A
422,100,100,A
423,71.4,71.4,B
424,89.8,89.8,A
425,81.8,81.8,B
426,100,100,A
427,74.1,74.1,B
428,100,100,A
429,96.4,96.4,A
430,47,47,D
431,46.4,46.4,D
432,54.4,54.4,D
433,76,76,B
434,97.8,97.8,A
435,100,100,A
436,92.8,92.8,A
437,100,100,A
438,78.9,78.9,B
439,74,74,B
440,75.3,75.3,B
441,88.4,88.4,A
442,81,81,B
443,45.8,45.8,D
444,80.3,80.3,B
445,69.6,69.6,C
446,98.2,98.2,A
447,100,100,A
448,89.5,89.5,A
449,66.9,66.9,C
450,80.3,80.3,B
451,67.3,67.3,C
452,100,100,A
453,78.7,78.7,B
454,86.2,86.2,A
455,71.9,71.9,B
456,49.3,49.3,D
457,93.4,93.4,A
458,55,55,C
459,79.6,79.6,B
460,51.9,51.9,D
461,100,100,A
462,94,94,A
463,96.2,96.2,A
464,77.5,77.5,B
465,85.2,85.2,A
466,99.2,99.2,A
467,92.8,92.8,A
468,100,100,A
469,72.3,72.3,B
470,65.7,65.7,C
471,66,66,C
472,60,60,C
473,63.6,63.6,C
474,100,100,A
475,100,100,A
476,82.1,82.1,B
477,83.4,83.4,B
478,97.2,97.2,A
479,100,100,A
480,100,100,A
481,80.2,80.2,B
482,78.5,78.5,B
483,67.7,67.7,C
484,75.5,75.5,B
485,74,74,B
486,68.5,68.5,C
487,66.9,66.9,C
488,87.8,87.8,A
489,100,100,A
490,100,100,A
491,88.1,88.1,A
492,100,100,A
493,100,100,A
494,85.5,85.5,A
495,100,100,A
496,100,100,A
497,72.8,72.8,B
498,100,100,A
499,63.5,63.5,C
500,72.7,72.7,B
501,100,100,A
502,100,100,A
503,69.7,69.7,C
504,95.4,95.4,A
505,56.8,56.8,C
506,75.2,75.2,B
507,72.6,72.6,B
508,64.6,64.6,C
509,72.6,72.6,B
510,80.7,80.7,B
511,89.4,89.4,A
512,91.1,91.1,A
513,92.8,92.8,A
514,63.2,63.2,C
515,80.9,80.9,B
516,94.3,94.3,A
517,92.6,92.6,A
518,65.8,65.8,C
519,96.1,96.1,A
520,100,100,A
521,66.1,66.1,C
522,90.7,90.7,A
523,63.3,63.3,C
524,100,100,A
525,63.5,63.5,C
526,79.1,79.1,B
527,63.9,63.9,C
528,88.2,88.2,A
529,79.1,79.1,B
530,70.6,70.6,B
531,99.3,99.3,A
532,55.1,55.1,C
533,81.3,81.3,B
534,43,43,D
535,89,89,A
536,78.5,78.5,B
537,77.6,77.6,B
538,92,92,A
539,100,100,A
540,73.2,73.2,B
541,96.5,96.5,A
542,62.1,62.1,C
543,86.1,86.1,A
544,100,100,A
545,37.8,37.8,F
546,65.3,65.3,C
547,79.8,79.8,B
548,100,100,A
549,89.2,89.2,A
550,79.8,79.8,B
551,100,100,A
552,87,87,A
553,98.9,98.9,A
554,98.6,98.6,A
555,100,100,A
556,86.5,86.5,A
557,76.3,76.3,B
558,82.8,82.8,B
559,100,100,A
560,100,100,A
561,100,100,A
562,100,100,A
563,72.2,72.2,B
564,87.8,87.8,A
565,100,100,A
566,100,100,A
567,63.1,63.1,C
568,61.8,61.8,C
569,58.9,58.9,C
570,76.3,76.3,B
571,100,100,A
572,100,100,A
573,99.4,99.4,A
574,89,89,A
575,83.8,83.8,B
576,61.9,61.9,C
577,80.1,80.1,B
578,95.8,95.8,A
579,58.1,58.1,C
580,100,100,A
581,86,86,A
582,86.8,86.8,A
583,100,100,A
584,100,100,A
585,99.9,99.9,A
586,84.2,84.2,B
587,80.9,80.9,B
588,72,72,B
589,100,100,A
590,65.3,65.3,C
591,93.7,93.7,A
592,67.8,67.8,C
593,91.3,91.3,A
594,84.9,84.9,B
595,99.3,99.3,A
596,67.3,67.3,C
597,99.9,99.9,A
598,74.1,74.1,B
599,100,100,A
600,91.4,91.4,A
601,89.6,89.6,A
602,76.3,76.3,B
603,100,100,A
604,100,100,A
605,100,100,A
606,100,100,A
607,77.4,77.4,B
608,52.3,52.3,D
609,51.9,51.9,D
610,100,100,A
611,100,100,A
612,74.7,74.7,B
613,99.1,99.1,A
614,70.6,70.6,B
615,100,100,A
616,97.6,97.6,A
617,96.7,96.7,A
618,100,100,A
619,98.9,98.9,A
620,93.2,93.2,A
621,73.6,73.6,B
622,89.7,89.7,A
623,100,100,A
624,100,100,A
625,100,100,A
626,91.1,91.1,A
627,71.1,71.1,B
628,69.3,69.3,C
629,80.9,80.9,B
630,100,100,A
631,66.2,66.2,C
632,100,100,A
633,89.4,89.4,A
634,78.3,78.3,B
635,67.3,67.3,C
636,69.2,69.2,C
637,100,100,A
638,89.9,89.9,A
639,49.8,49.8,D
640,82.7,82.7,B
641,82.1,82.1,B
642,100,100,A
643,94.7,94.7,A
644,65.7,65.7,C
645,74,74,B
646,83.8,83.8,B
647,44.5,44.5,D
648,90,90,A
649,86.9,86.9,A
650,93.6,93.6,A
651,100,100,A
652,100,100,A
653,75.9,75.9,B
654,78.6,78.6,B
655,100,100,A
656,97.4,97.4,A
657,94.8,94.8,A
658,93.2,93.2,A
659,92.2,92.2,A
660,75.2,75.2,B
661,73.4,73.4,B
662,81,81,B
663,98.8,98.8,A
664,86.1,86.1,A
665,84.2,84.2,B
666,78.1,78.1,B
667,84.4,84.4,B
668,100,100,A
669,34.5,34.5,F
670,100,100,A
671,97.7,97.7,A
672,51.8,51.8,D
673,81.9,81.9,B
674,87.5,87.5,A
675,70.5,70.5,B
676,76.2,76.2,B
677,74.6,74.6,B
678,100,100,A
679,100,100,A
680,100,100,A
681,100,100,A
682,83.2,83.2,B
683,94.8,94.8,A
684,100,100,A
685,51.6,51.6,D
686,100,100,A
687,95.1,95.1,A
688,76.5,76.5,B
689,100,100,A
690,100,100,A
691,68.5,68.5,C
692,100,100,A
693,66.7,66.7,C
694,96.8,96.8,A
695,100,100,A
696,100,100,A
697,100,100,A
698,70.2,70.2,B
699,100,100,A
700,71.1,71.1,B
701,75.4,75.4,B
702,96.1,96.1,A
703,87,87,A
704,62.9,62.9,C
705,71.4,71.4,B
706,100,100,A
707,75.6,75.6,B
708,100,100,A
709,50.5,50.5,D
710,100,100,A
711,77.2,77.2,B
712,93.7,93.7,A
713,61.4,61.4,C
714,98.9,98.9,A
715,89.5,89.5,A
716,100,100,A
717,100,100,A
718,97.3,97.3,A
719,78.4,78.4,B
720,81.8,81.8,B
721,87.4,87.4,A
722,46.6,46.6,D
723,71.2,71.2,B
724,100,100,A
725,86.1,86.1,A
726,99.6,99.6,A
727,100,100,A
728,83.7,83.7,B
729,81,81,B
730,80.7,80.7,B
731,80.7,80.7,B
732,81.6,81.6,B
733,80.8,80.8,B
734,48.3,48.3,D
735,99.5,99.5,A
736,98.8,98.8,A
737,74.4,74.4,B
738,100,100,A
739,100,100,A
740,93.4,93.4,A
741,67,67,C
742,92.3,92.3,A
743,82.2,82.2,B
744,77.4,77.4,B
745,97.9,97.9,A
746,84,84,B
747,85.2,85.2,A
748,76.2,76.2,B
749,70.9,70.9,B
750,62.5,62.5,C
751,77.6,77.6,B
752,76,76,B
753,84.5,84.5,B
754,100,100,A
755,83,83,B
756,100,100,A
757,94.7,94.7,A
758,91.8,91.8,A
759,62,62,C
760,100,100,A
761,72.6,72.6,B
762,98.1,98.1,A
763,100,100,A
764,97.8,97.8,A
765,100,100,A
766,67.8,67.8,C
767,85,85,A
768,100,100,A
769,77.6,77.6,B
770,100,100,A
771,100,100,A
772,78.9,78.9,B
773,100,100,A
774,88.1,88.1,A
775,85.6,85.6,A
776,74.8,74.8,B
777,70.7,70.7,B
778,71.3,71.3,B
779,100,100,A
780,100,100,A
781,86.9,86.9,A
782,80.2,80.2,B
783,98.3,98.3,A
784,100,100,A
785,79.8,79.8,B
786,100,100,A
787,100,100,A
788,93.4,93.4,A
789,88.4,88.4,A
790,58,58,C
791,100,100,A
792,93.5,93.5,A
793,95.4,95.4,A
794,74.6,74.6,B
795,73.7,73.7,B
796,100,100,A
797,97.2,97.2,A
798,80.1,80.1,B
799,90.1,90.1,A
800,100,100,A
801,89.3,89.3,A
802,80.6,80.6,B
803,100,100,A
804,68.5,68.5,C
805,75.6,75.6,B
806,100,100,A
807,97.5,97.5,A
808,84.5,84.5,B
809,93.9,93.9,A
810,74.1,74.1,B
811,77.1,77.1,B
812,74.8,74.8,B
813,100,100,A
814,96.1,96.1,A
815,100,100,A
816,51.4,51.4,D
817,80.3,80.3,B
818,100,100,A
819,88.4,88.4,A
820,100,100,A
821,75.3,75.3,B
822,100,100,A
823,100,100,A
824,75.1,75.1,B
825,75.5,75.5,B
826,100,100,A
827,100,100,A
828,62.2,62.2,C
829,71.6,71.6,B
830,97.3,97.3,A
831,60.5,60.5,C
832,65.2,65.2,C
833,71.7,71.7,B
834,77.6,77.6,B
835,100,100,A
836,100,100,A
837,100,100,A
838,100,100,A
839,100,100,A
840,77.3,77.3,B
841,68.3,68.3,C
842,90.1,90.1,A
843,64.4,64.4,C
844,92.2,92.2,A
845,70.5,70.5,B
846,100,100,A
847,80.5,80.5,B
848,100,100,A
849,80,80,B
850,76.3,76.3,B
851,86.8,86.8,A
852,90.2,90.2,A
853,71.2,71.2,B
854,94.4,94.4,A
855,100,100,A
856,89.9,89.9,A
857,62,62,C
858,77,77,B
859,88.8,88.8,A
860,100,100,A
861,90.8,90.8,A
862,55.3,55.3,C
863,100,100,A
864,100,100,A
865,65.7,65.7,C
866,86.3,86.3,A
867,87.1,87.1,A
868,96,96,A
869,100,100,A
870,100,100,A
871,90.2,90.2,A
872,95.8,95.8,A
873,58.9,58.9,C
874,61.4,61.4,C
875,65,65,C
876,100,100,A
877,58.1,58.1,C
878,99.1,99.1,A
879,96.2,96.2,A
880,100,100,A
881,100,100,A
882,63.2,63.2,C
883,65.5,65.5,C
884,100,100,A
885,90.1,90.1,A
886,100,100,A
887,85,85,A
888,100,100,A
889,88.6,88.6,A
890,90.3,90.3,A
891,100,100,A
892,100,100,A
893,100,100,A
894,100,100,A
895,92.6,92.6,A
896,94.2,94.2,A
897,70.1,70.1,B
898,90.2,90.2,A
899,100,100,A
900,76.5,76.5,B
901,100,100,A
902,73.3,73.3,B
903,86.1,86.1,A
904,100,100,A
905,77.9,77.9,B
906,97.9,97.9,A
907,79.2,79.2,B
908,100,100,A
909,82.8,82.8,B
910,100,100,A
911,90.3,90.3,A
912,100,100,A
913,89.6,89.6,A
914,100,100,A
915,89.4,89.4,A
916,100,100,A
917,96.3,96.3,A
918,79.3,79.3,B
919,85.6,85.6,A
920,80.4,80.4,B
921,100,100,A
922,66.2,66.2,C
923,87.9,87.9,A
924,69.3,69.3,C
925,98.9,98.9,A
926,65.2,65.2,C
927,77.1,77.1,B
928,88.5,88.5,A
929,100,100,A
930,85.1,85.1,A
931,86.6,86.6,A
932,100,100,A
933,54.9,54.9,D
934,51.7,51.7,D
935,91.9,91.9,A
936,72.2,72.2,B
937,59.6,59.6,C
938,100,100,A
939,97.6,97.6,A
940,92.1,92.1,A
941,53.3,53.3,D
942,100,100,A
943,100,100,A
944,80,80,B
945,100,100,A
946,73.3,73.3,B
947,64.4,64.4,C
948,71.1,71.1,B
949,90.8,90.8,A
950,77.4,77.4,B
951,87.1,87.1,A
952,88.1,88.1,A
953,62.4,62.4,C
954,100,100,A
955,87.6,87.6,A
956,100,100,A
957,98.9,98.9,A
958,99.1,99.1,A
959,88.2,88.2,A
960,94.7,94.7,A
961,100,100,A
962,100,100,A
963,80.7,80.7,B
964,100,100,A
965,95.9,95.9,A
966,100,100,A
967,44.7,44.7,D
968,100,100,A
969,91.3,91.3,A
970,59.9,59.9,C
971,100,100,A
972,82.3,82.3,B
973,85.5,85.5,A
974,67.9,67.9,C
975,62.4,62.4,C
976,60.3,60.3,C
977,74.4,74.4,B
978,35.8,35.8,F
979,58.1,58.1,C
980,95.8,95.8,A
981,98.3,98.3,A
982,100,100,A
983,63.8,63.8,C
984,95.2,95.2,A
985,92.5,92.5,A
986,68.2,68.2,C
987,100,100,A
988,100,100,A
989,91.6,91.6,A
990,81.7,81.7,B
991,98.9,98.9,A
992,61.8,61.8,C
993,81.7,81.7,B
994,76.8,76.8,B
995,66.2,66.2,C
996,78.1,78.1,B
997,100,100,A
998,91.7,91.7,A
999,80.7,80.7,B
1000,77.2,77.2,B
1001,100,100,A
1002,96.3,96.3,A
1003,90.3,90.3,A
1004,77.5,77.5,B
1005,100,100,A
1006,95.1,95.1,A
1007,100,100,A
1008,97.6,97.6,A
1009,100,100,A
1010,84.2,84.2,B
1011,100,100,A
1012,94.5,94.5,A
1013,100,100,A
1014,71.7,71.7,B
1015,100,100,A
1016,100,100,A
1017,66.1,66.1,C
1018,64.1,64.1,C
1019,71.2,71.2,B
1020,100,100,A
1021,84.7,84.7,B
1022,96.1,96.1,A
1023,86.1,86.1,A
1024,100,100,A
1025,100,100,A
1026,96.4,96.4,A
1027,100,100,A
1028,100,100,A
1029,98.3,98.3,A
1030,63.5,63.5,C
1031,74.7,74.7,B
1032,61.4,61.4,C
1033,93.1,93.1,A
1034,100,100,A
1035,81.2,81.2,B
1036,100,100,A
1037,74.2,74.2,B
1038,65.2,65.2,C
1039,71.2,71.2,B
1040,100,100,A
1041,100,100,A
1042,79.4,79.4,B
1043,100,100,A
1044,100,100,A
1045,87.7,87.7,A
1046,100,100,A
1047,100,100,A
1048,54.5,54.5,D
1049,100,100,A
1050,100,100,A
1051,77.3,77.3,B
1052,96.8,96.8,A
1053,98.7,98.7,A
1054,91.5,91.5,A
1055,85.2,85.2,A
1056,70.7,70.7,B
1057,65.2,65.2,C
1058,100,100,A
1059,100,100,A
1060,80.2,80.2,B
1061,90,90,A
1062,58.7,58.7,C
1063,100,100,A
1064,50.2,50.2,D
1065,95.7,95.7,A
1066,75.7,75.7,B
1067,68.9,68.9,C
1068,100,100,A
1069,74.5,74.5,B
1070,76.8,76.8,B
1071,93.2,93.2,A
1072,90.7,90.7,A
1073,85.1,85.1,A
1074,71.5,71.5,B
1075,91.5,91.5,A
1076,81,81,B
1077,53.6,53.6,D
1078,79.1,79.1,B
1079,100,100,A
1080,99.2,99.2,A
1081,90.5,90.5,A
1082,74.6,74.6,B
1083,78.1,78.1,B
1084,100,100,A
1085,93,93,A
1086,96.6,96.6,A
1087,100,100,A
1088,93.1,93.1,A
1089,89.9,89.9,A
1090,65.8,65.8,C
1091,99.4,99.4,A
1092,99.4,99.4,A
1093,86.3,86.3,A
1094,86.1,86.1,A
1095,93.9,93.9,A
1096,82.3,82.3,B
1097,86.4,86.4,A
1098,50.4,50.4,D
1099,100,100,A
1100,100,100,A
1101,100,100,A
1102,60.7,60.7,C
1103,100,100,A
1104,78.9,78.9,B
1105,100,100,A
1106,73.3,73.3,B
1107,83.2,83.2,B
1108,71.2,71.2,B
1109,88.7,88.7,A
1110,100,100,A
1111,91.6,91.6,A
1112,97.3,97.3,A
1113,100,100,A
1114,100,100,A
1115,98.2,98.2,A
1116,77.7,77.7,B
1117,100,100,A
1118,84.5,84.5,B
1119,88.4,88.4,A
1120,100,100,A
1121,100,100,A
1122,100,100,A
1123,95.5,95.5,A
1124,58.2,58.2,C
1125,98,98,A
1126,78.1,78.1,B
1127,100,100,A
1128,89.7,89.7,A
1129,98,98,A
1130,100,100,A
1131,93.7,93.7,A
1132,100,100,A
1133,100,100,A
1134,62.8,62.8,C
1135,100,100,A
1136,100,100,A
1137,100,100,A
1138,60.3,60.3,C
1139,100,100,A
1140,100,100,A
1141,79.3,79.3,B
1142,100,100,A
1143,66.3,66.3,C
1144,88.4,88.4,A
1145,76.2,76.2,B
1146,92.3,92.3,A
1147,73.9,73.9,B
1148,49.4,49.4,D
1149,100,100,A
1150,70,70,B
1151,66.4,66.4,C
1152,53.6,53.6,D
1153,76.2,76.2,B
1154,62.4,62.4,C
1155,100,100,A
1156,100,100,A
1157,82.1,82.1,B
1158,100,100,A
1159,95,95,A
1160,68.2,68.2,C
1161,49.9,49.9,D
1162,100,100,A
1163,68.6,68.6,C
1164,43.9,43.9,D
1165,100,100,A
1166,100,100,A
1167,100,100,A
1168,95.4,95.4,A
1169,100,100,A
1170,96.9,96.9,A
1171,82.4,82.4,B
1172,89.8,89.8,A
1173,83.8,83.8,B
1174,69.9,69.9,C
1175,82.4,82.4,B
1176,79.3,79.3,B
1177,69.3,69.3,C
1178,98.7,98.7,A
1179,81.5,81.5,B
1180,56.9,56.9,C
1181,90.4,90.4,A
1182,100,100,A
1183,100,100,A
1184,64.1,64.1,C
1185,92.4,92.4,A
1186,100,100,A
1187,72.4,72.4,B
1188,86.6,86.6,A
1189,100,100,A
1190,62.4,62.4,C
1191,89.9,89.9,A
1192,72.8,72.8,B
1193,82.4,82.4,B
1194,100,100,A
1195,47.6,47.6,D
1196,100,100,A
1197,75,75,B
1198,91.3,91.3,A
1199,99.5,99.5,A
1200,100,100,A
1201,89.8,89.8,A
1202,69.1,69.1,C
1203,98.7,98.7,A
1204,99.9,99.9,A
1205,87.3,87.3,A
1206,100,100,A
1207,88.5,88.5,A
1208,85.1,85.1,A
1209,64.1,64.1,C
1210,100,100,A
1211,52.7,52.7,D
1212,81.4,81.4,B
1213,69.5,69.5,C
1214,100,100,A
1215,73.7,73.7,B
1216,97.6,97.6,A
1217,86.5,86.5,A
1218,87.5,87.5,A
1219,82.7,82.7,B
1220,100,100,A
1221,62.5,62.5,C
1222,94.1,94.1,A
1223,100,100,A
1224,82.7,82.7,B
1225,78.3,78.3,B
1226,75.7,75.7,B
1227,99.9,99.9,A
1228,83.5,83.5,B
1229,100,100,A
1230,100,100,A
1231,76.7,76.7,B
1232,48.5,48.5,D
1233,78.9,78.9,B
1234,100,100,A
1235,83,83,B
1236,98.8,98.8,A
1237,100,100,A
1238,66.1,66.1,C
1239,100,100,A
1240,100,100,A
1241,82.3,82.3,B
1242,87.4,87.4,A
1243,71.1,71.1,B
1244,67,67,C
1245,73.1,73.1,B
1246,68.1,68.1,C
1247,86.5,86.5,A
1248,79.1,79.1,B
1249,79.2,79.2,B
1250,50.5,50.5,D
1251,100,100,A
1252,100,100,A
1253,60.3,60.3,C
1254,99.5,99.5,A
1255,96.5,96.5,A
1256,54.7,54.7,D
1257,100,100,A
1258,77.7,77.7,B
1259,75,75,B
1260,75.5,75.5,B
1261,91.5,91.5,A
1262,97.3,97.3,A
1263,93.9,93.9,A
1264,64.3,64.3,C
1265,72,72,B
1266,65.5,65.5,C
1267,78.4,78.4,B
1268,65.2,65.2,C
1269,71.3,71.3,B
1270,100,100,A
1271,100,100,A
1272,91.9,91.9,A
1273,79.2,79.2,B
1274,82.1,82.1,B
1275,100,100,A
1276,98.5,98.5,A
1277,100,100,A
1278,93,93,A
1279,81.2,81.2,B
1280,71.3,71.3,B
1281,79,79,B
1282,91.8,91.8,A
1283,95.8,95.8,A
