weekly_self_study_hours,attendance_percentage,total_score,class
26.1,100,100,A
6.3,76.6,43.9,A
29.9,81.2,100,A
1.3,82.9,54.5,A
13.9,88.5,62.1,A
19.1,80.3,100,A
17,92.4,85.6,A
10.6,83.8,80.8,A
13.5,92.2,92.4,A
11.5,89.6,71.6,A
10.9,88.2,74.5,A
20.9,76.2,87.5,A
17.5,92,89.9,A
10.1,90,80.4,A
21.3,100,94.9,A
17.2,77.6,92.6,A
20.7,84.6,95.8,A
19.4,93.6,100,A
9.2,89.2,62.9,A
11.1,90.4,81.1,A
20.2,70.6,100,A
19.3,91.1,100,A
14.9,97.7,87.6,A
15.8,73.4,88.1,A
23.9,86.1,100,A
10.9,80.5,77.1,A
18.8,87.2,80,A
13.6,97.7,100,A
13.5,73.9,90.6,A
22.7,85.4,95.9,A
20.8,84.2,99.6,A
20.7,88.8,100,A
24.1,80.4,100,A
15.1,100,82.2,A
19.8,73.4,100,A
12.8,97.7,79.8,A
17.3,85.2,94.6,A
14.1,73.8,84.1,A
15.7,85.1,85.3,A
19.2,74.7,87.2,A
9.3,70.9,80.3,A
29.6,100,100,A
8,90.2,71.6,A
6.5,86,75.5,A
23.1,81.6,98.6,A
20.5,93.7,100,A
19.4,87.7,100,A
19.4,80.3,97.9,A
14.9,100,90.5,A
8.7,87.3,41.3,A
15.5,75.8,93.3,A
10.3,78.2,81.3,A
21.8,88.8,100,A
14,98.7,97.8,A
9.2,88.3,56.7,A
12.8,94.1,81.2,A
17.9,78.4,99.9,A
11.1,88.1,94.6,A
9.2,83.7,72.9,A
16.7,74.9,80.6,A
16.7,94.9,97,A
11.5,78.1,89.4,A
11.7,97.9,79.7,A
16.6,100,100,A
4.9,91,59,A
5.1,79.5,56.9,A
10,72,79.9,A
13.5,80,91.5,A
17.2,85.4,100,A
25.3,85.3,100,A
21,73.6,87.3,A
13.9,65.4,87.4,A
14.9,87.1,88.3,A
8,94.8,68.8,A
14.9,90.4,94.7,A
13,92.5,76.4,A
17.3,90.4,100,A
9.2,82.3,72.1,A
18.6,100,83.7,A
25.7,65.4,100,A
14.2,88.1,85.1,A
17.8,82.1,89.5,A
19.8,80,95.4,A
12.2,97.8,82.5,A
16.6,89.5,77.5,A
15.1,99.6,89.9,A
15.7,91.3,93.3,A
9.6,94.4,80,A
15.2,88.4,96.4,A
18.5,97.3,95,A
25.2,100,100,A
21.7,97.8,100,A
30.1,99.7,100,A
9.6,89.8,82.4,A
21.1,80.3,92.2,A
16.3,94.9,100,A
30.3,64.4,100,A
9.3,81.7,60.4,A
9.1,68.2,76.5,A
10.8,87,88.7,A
0.1,100,33.8,A
11.3,76.4,67.3,A
9.7,96.9,87.6,A
16.1,76,92.1,A
17.4,76.8,85.4,A
28.1,77.2,100,A
21.7,85.5,100,A
11,70.7,97.6,A
8.7,84.9,54.1,A
18.4,92.8,85.8,A
5.8,88,63.1,A
27.8,80.3,100,A
23.3,90.6,100,A
11.7,92.7,89.6,A
3,86.6,58.6,A
24.5,85.5,100,A
14.2,100,81.5,A
23.7,87.9,100,A
3.8,85.8,67.2,A
10.8,88.7,67.8,A
15,91.7,87.4,A
15.3,82.9,90.2,A
11.8,73.2,64.9,A
19.4,67.1,88.6,A
7.5,87.5,81.3,A
14,76.5,88.5,A
15.8,90,85.6,A
18.6,87.8,91.5,A
20,83.3,100,A
7.1,83.1,66.4,A
4.3,77.5,54.3,A
23.9,70.1,100,A
17.3,91.6,89.6,A
9.8,94.2,89.2,A
25.9,79.2,100,A
15.8,90.1,96.3,A
23.3,66.9,100,A
15.5,98.2,90.5,A
29.4,91.3,100,A
27.3,83,100,A
13.3,75.8,71.4,A
21.8,100,89.8,A
19.5,91,81.8,A
24.6,93.6,100,A
8.2,85.1,74.1,A
19.8,100,100,A
22.4,82.9,96.4,A
2.7,88,47,A
6.7,90.2,46.4,A
0.7,89,54.4,A
13.1,93.6,76,A
20,80.1,97.8,A
25.5,95.1,100,A
15.5,91.8,92.8,A
26.4,90.4,100,A
5.3,97,78.9,A
3.1,78.2,74,A
14.6,81,75.3,A
17.7,90.2,88.4,A
14.8,95.8,81,A
0.5,89.4,45.8,A
14.4,97.7,80.3,A
5.9,89.5,69.6,A
19.7,81,98.2,A
17.6,84,100,A
8.4,95.8,89.5,A
11.4,95.8,66.9,A
7.6,61.6,80.3,A
14.6,92.6,67.3,A
21.7,80.6,100,A
8.1,99.4,78.7,A
18.5,94.1,86.2,A
11.3,92.8,71.9,A
9.4,88.3,49.3,A
14.3,83.4,93.4,A
7.8,89.2,55,A
11.1,76.4,79.6,A
6.6,99.9,51.9,A
28.8,70.1,100,A
15.2,100,94,A
10.1,100,96.2,A
16.5,78.7,77.5,A
14.2,81.9,85.2,A
13.5,96.6,99.2,A
19.3,72.7,92.8,A
20.3,89.4,100,A
11.3,97.7,72.3,A
11,96.7,65.7,A
13.1,82.8,66,A
0,97.2,60,A
4.4,88.1,63.6,A
24.6,98.7,100,A
26.5,77.8,100,A
13.3,79,82.1,A
19,94.1,83.4,A
17.2,98.3,97.2,A
36.6,77.7,100,A
22.8,89.4,100,A
14.1,80.7,80.2,A
8.3,78,78.5,A
3.8,88.3,67.7,A
16.4,84.5,75.5,A
9.7,79.7,74,A
5,74.5,68.5,A
10.5,52.5,66.9,A
7.4,84.7,87.8,A
26.8,72.8,100,A
21.2,82.5,100,A
14.9,96.7,88.1,A
25.4,78.1,100,A
15.5,70.6,100,A
9,90.3,85.5,A
25.7,88.9,100,A
18.8,83.2,100,A
7.7,81.4,72.8,A
13.7,87,100,A
8.9,87.4,63.5,A
5.3,74.2,72.7,A
21.5,99.4,100,A
28.4,78.6,100,A
5.2,67.6,69.7,A
18.9,82.7,95.4,A
10.4,73.6,56.8,A
11.6,98.6,75.2,A
10.9,83.9,72.6,A
9,92.6,64.6,A
15.3,94.6,72.6,A
9.2,87.1,80.7,A
16.9,100,89.4,A
14.6,91.1,91.1,A
13.3,85.4,92.8,A
8.6,88.3,63.2,A
11,76.1,80.9,A
20.3,75.4,94.3,A
18.5,93.7,92.6,A
8.2,85.4,65.8,A
15.7,94.4,96.1,A
20.3,98.4,100,A
3.3,90.4,66.1,A
18.8,98.8,90.7,A
10.4,60.2,63.3,A
19,85.9,100,A
9.7,85.1,63.5,A
2.4,77.1,79.1,A
3.6,86.1,63.9,A
15.3,76.4,88.2,A
16.8,91,79.1,A
8.7,83.1,70.6,A
19.5,77.4,99.3,A
3.4,90.9,55.1,A
14.5,100,81.3,A
6.5,81.6,43,A
10.4,83.7,89,A
15.3,88.2,78.5,A
9,82.4,77.6,A
12.3,86.8,92,A
22,74,100,A
11,73.6,73.2,A
20.8,81.3,96.5,A
7.1,81.6,62.1,A
18.7,87.9,86.1,A
25.1,90.6,100,A
0,75.7,37.8,A
9.4,84.1,65.3,A
19,80.5,79.8,A
13.6,94.1,100,A
17.6,74.9,89.2,A
10.8,94.3,79.8,A
15.6,90.9,100,A
13.9,86.3,87,A
23.2,82.3,98.9,A
16.8,78.2,98.6,A
17.4,75.7,100,A
12.1,100,86.5,A
11.6,89.1,76.3,A
12,80.6,82.8,A
17.8,73.9,100,A
12.1,67.1,100,A
17,79.1,100,A
29.5,94.1,100,A
21.1,79.6,72.2,A
12.7,76.7,87.8,A
23.4,84.8,100,A
12.1,80.1,100,A
0.7,94,63.1,A
7.9,68,61.8,A
1.9,97.1,58.9,A
12.5,88.3,76.3,A
15.1,100,100,A
26.7,76,100,A
17.3,76.1,99.4,A
13.5,79.3,89,A
20.8,77.4,83.8,A
0,82.6,61.9,A
16.6,75.8,80.1,A
20.4,100,95.8,A
4.6,75.5,58.1,A
23,93,100,A
17.4,92.8,86,A
12.1,75.1,86.8,A
19.4,89.4,100,A
30.9,100,100,A
16.3,74.3,99.9,A
16.7,79,84.2,A
11.8,89.6,80.9,A
9.1,80.8,72,A
20.8,80.6,100,A
9,85.2,65.3,A
15.5,81.6,93.7,A
11.7,77.2,67.8,A
18.4,79.1,91.3,A
17.3,98.2,84.9,A
22.3,91.5,99.3,A
11.4,87,67.3,A
13.1,63.1,99.9,A
8.1,84.5,74.1,A
11.9,65.9,100,A
17.6,93.8,91.4,A
20.3,69.7,89.6,A
8.5,81.2,76.3,A
21.1,99.7,100,A
24.5,80.9,100,A
17.9,80.6,100,A
28.1,97.7,100,A
9.6,83.5,77.4,A
6.3,78.5,52.3,A
2.5,94,51.9,A
25.5,80.4,100,A
19.6,75.5,100,A
14.6,72.6,74.7,A
17,93.8,99.1,A
7.1,100,70.6,A
32.1,78.9,100,A
15.9,90.2,97.6,A
15.8,92.5,96.7,A
20.1,79,100,A
18.4,100,98.9,A
16.6,91.6,93.2,A
9.5,79.8,73.6,A
18.3,89,89.7,A
28.2,78.6,100,A
24.4,92.7,100,A
26.2,77.9,100,A
11.4,90.2,91.1,A
8.1,77.5,71.1,A
14.1,85,69.3,A
15.4,82.3,80.9,A
22.7,89.6,100,A
3.2,86.8,66.2,A
25.7,94.9,100,A
13.9,80,89.4,A
12,92.4,78.3,A
7.9,71.9,67.3,A
3.4,77.7,69.2,A
20.8,87.1,100,A
15.5,100,89.9,A
6,91.7,49.8,A
5.9,74.6,82.7,A
12.6,100,82.1,A
26.7,100,100,A
13.2,85.6,94.7,A
4.5,73.1,65.7,A
13.3,70.8,74,A
13.1,90.4,83.8,A
0,80.5,44.5,A
14.6,91.4,90,A
13.4,91.3,86.9,A
19.9,94.1,93.6,A
27.9,74.4,100,A
22.9,89.2,100,A
13.1,75.2,75.9,A
7.3,100,78.6,A
33,85.3,100,A
15.4,76.3,97.4,A
15.1,77.8,94.8,A
14.8,89,93.2,A
16.4,86.7,92.2,A
14,85.6,75.2,A
11,84.3,73.4,A
11.2,79.6,81,A
14.8,89.5,98.8,A
11.2,93.5,86.1,A
10,75.6,84.2,A
15.7,93.5,78.1,A
13.2,100,84.4,A
25.5,81.7,100,A
0,86.4,34.5,A
22.6,83.7,100,A
23.7,84.7,97.7,A
0.5,82,51.8,A
12.6,77.7,81.9,A
12.4,90,87.5,A
5.1,88.4,70.5,A
9.6,78,76.2,A
7.2,81.4,74.6,A
27.3,88.2,100,A
21.5,81.2,100,A
23.9,74.2,100,A
20.1,82.8,100,A
7.1,91.7,83.2,A
11.3,90.3,94.8,A
18.4,90.2,100,A
6.4,69.1,51.6,A
20,84.5,100,A
13.3,57.2,95.1,A
12.4,78.5,76.5,A
20,84.6,100,A
18.1,75.7,100,A
12.5,64,68.5,A
23.1,80.8,100,A
7.4,100,66.7,A
19.3,97,96.8,A
19.2,84.3,100,A
12.8,94,100,A
17.3,75.5,100,A
6.2,82.5,70.2,A
21.5,71.9,100,A
13.7,100,71.1,A
11.3,100,75.4,A
22.3,78.9,96.1,A
10.1,94.6,87,A
5.1,81,62.9,A
4.1,68.5,71.4,A
19.2,100,100,A
6,62.4,75.6,A
27.3,89.8,100,A
0.4,91.7,50.5,A
26.9,74.4,100,A
16.5,88.5,77.2,A
14.3,93.9,93.7,A
11.2,89.9,61.4,A
17.8,82.3,98.9,A
14.7,91.2,89.5,A
22.7,79.3,100,A
15.8,100,100,A
16.1,100,97.3,A
12.5,82.9,78.4,A
14.6,81.4,81.8,A
17.2,99.6,87.4,A
3,91.5,46.6,A
5.6,68.4,71.2,A
20.2,95.3,100,A
16.2,71.3,86.1,A
13.7,69.9,99.6,A
15.1,92.9,100,A
17.4,64.5,83.7,A
11.2,98.2,81,A
9.6,96,80.7,A
16.4,91.7,80.7,A
8.2,93.2,81.6,A
17.9,80.8,80.8,A
3.1,88.7,48.3,A
22.2,91.4,99.5,A
18.3,88.2,98.8,A
16.8,95.6,74.4,A
21.9,86.5,100,A
26.7,60,100,A
22.1,94.4,93.4,A
2.1,70.4,67,A
6,71.4,92.3,A
10.6,70.8,82.2,A
15.2,80.8,77.4,A
18.6,88.3,97.9,A
9.9,75,84,A
16.3,64.5,85.2,A
9.7,85.6,76.2,A
10.7,100,70.9,A
5.2,87.8,62.5,A
8.5,82.2,77.6,A
5.5,64.4,76,A
8.2,93.4,84.5,A
22.4,77.3,100,A
8.4,79.1,83,A
33.4,78.4,100,A
18.5,80.7,94.7,A
16.3,69.5,91.8,A
9,96.7,62,A
19.9,81.7,100,A
11,92.9,72.6,A
15.9,80.6,98.1,A
32.9,100,100,A
14.3,88,97.8,A
23,89.2,100,A
10.1,63.8,67.8,A
14.8,86.9,85,A
27.4,82,100,A
10.6,76.3,77.6,A
27.7,73.8,100,A
20,78.6,100,A
11.1,83.8,78.9,A
19.4,81.4,100,A
21.8,88.7,88.1,A
19.4,78.6,85.6,A
4,92.1,74.8,A
9.9,95.3,70.7,A
13.3,91.1,71.3,A
14.5,86.2,100,A
19.3,83.8,100,A
16.2,93.9,86.9,A
5.7,91.7,80.2,A
17.7,84.4,98.3,A
19.3,80.6,100,A
18.9,89,79.8,A
22.6,84.4,100,A
20.8,88.2,100,A
18.2,78.9,93.4,A
14.5,75,88.4,A
3.4,91.5,58,A
18,69.9,100,A
16.5,95.8,93.5,A
16.9,90.6,95.4,A
6.1,94.1,74.6,A
7.4,97.7,73.7,A
22.4,86.4,100,A
14.7,82.6,97.2,A
19.8,73.6,80.1,A
15.2,81.7,90.1,A
15.2,72.5,100,A
21.6,73.2,89.3,A
11.4,74.1,80.6,A
15.7,93,100,A
11.8,83.6,68.5,A
12,86.6,75.6,A
12.8,77.6,100,A
16.6,72.1,97.5,A
11.6,79.2,84.5,A
23.8,100,93.9,A
8.7,90.1,74.1,A
13.7,95.7,77.1,A
11.9,85.8,74.8,A
25.1,84.2,100,A
16.4,85.6,96.1,A
22.2,57.4,100,A
4.6,93.4,51.4,A
16.9,64,80.3,A
21.2,81.8,100,A
15.6,65.4,88.4,A
22.5,91.4,100,A
11.4,79.3,75.3,A
24.9,97.8,100,A
31.1,86.7,100,A
12.5,92.7,75.1,A
11.9,78.9,75.5,A
25.2,68,100,A
26.1,92.7,100,A
11.3,81.2,62.2,A
12.1,98.9,71.6,A
13,64.2,97.3,A
5.6,76,60.5,A
8.6,59.9,65.2,A
8,79.4,71.7,A
9.6,89.3,77.6,A
14.8,83.7,100,A
16.6,88.9,100,A
25.9,86.2,100,A
8,68.7,100,A
21.9,87.9,100,A
13.5,94,77.3,A
14.7,79.6,68.3,A
19.7,85.9,90.1,A
7.1,75,64.4,A
17.7,100,92.2,A
16.2,67.9,70.5,A
18.4,77.4,100,A
17,85.8,80.5,A
32.2,90.5,100,A
10.5,77.8,80,A
11.3,79.8,76.3,A
10.6,89.2,86.8,A
11.1,69.4,90.2,A
10.5,91,71.2,A
23.3,100,94.4,A
24.9,88.9,100,A
11,100,89.9,A
9.2,79.4,62,A
18.3,96.1,77,A
11.1,90,88.8,A
19.4,77.9,100,A
16.4,83.3,90.8,A
4.4,82,55.3,A
25.8,75.6,100,A
27.6,95.7,100,A
10.7,75.4,65.7,A
12.3,100,86.3,A
17,79.6,87.1,A
17.3,87.5,96,A
19.6,76,100,A
29.1,92.6,100,A
13.8,77.4,90.2,A
9.4,100,95.8,A
5.3,96.7,58.9,A
9.9,97.1,61.4,A
14.8,88.1,65,A
27.6,86.1,100,A
11.4,95.3,58.1,A
16.6,94.2,99.1,A
14.9,75.6,96.2,A
23.3,84.4,100,A
32.7,81.8,100,A
11.3,89.6,63.2,A
11.6,96.5,65.5,A
22.3,85.6,100,A
19.8,87.6,90.1,A
27.9,96.3,100,A
19.1,70,85,A
12.5,73.1,100,A
19.1,97.6,88.6,A
22.8,79.9,90.3,A
20.7,92.7,100,A
18.6,78.7,100,A
22.5,93.6,100,A
23.2,84.2,100,A
24.7,76.6,92.6,A
19.5,96.5,94.2,A
13.8,89.4,70.1,A
16,79.2,90.2,A
23.4,87.4,100,A
9.3,71.1,76.5,A
17.6,78.6,100,A
12.2,72.3,73.3,A
15.2,87.1,86.1,A
23.9,72.9,100,A
16.3,73.1,77.9,A
15.3,87,97.9,A
5.5,79.6,79.2,A
20.2,100,100,A
19.5,78.9,82.8,A
30.1,81.8,100,A
12.8,77,90.3,A
16.5,81.7,100,A
16.7,83.5,89.6,A
26,73.8,100,A
14.3,78.7,89.4,A
17,75.6,100,A
19.3,87.4,96.3,A
16.3,84.3,79.3,A
11.9,69.5,85.6,A
16.4,90.4,80.4,A
22.5,80.7,100,A
7.8,90,66.2,A
15.9,76.5,87.9,A
10.1,92.1,69.3,A
23.4,89.3,98.9,A
4.3,80.2,65.2,A
11.1,93.1,77.1,A
17.6,69.1,88.5,A
26,88,100,A
14.5,85.7,85.1,A
11.1,60.5,86.6,A
28.2,91.5,100,A
4.9,67.1,54.9,A
0,86.7,51.7,A
18.1,87.1,91.9,A
11.5,93,72.2,A
7.9,87.5,59.6,A
20,68.2,100,A
16.7,98.6,97.6,A
11.1,80.3,92.1,A
6,90.4,53.3,A
21.1,76.8,100,A
19.6,70.4,100,A
14.3,99.1,80,A
27.9,87.7,100,A
7.5,88.7,73.3,A
4.3,97,64.4,A
10.2,80.3,71.1,A
14.7,83.8,90.8,A
16.7,83.1,77.4,A
13.3,91.7,87.1,A
17.5,78.2,88.1,A
6.2,70,62.4,A
25.1,92.8,100,A
14.4,82.7,87.6,A
22.8,68.9,100,A
17.4,97.6,98.9,A
18.2,91,99.1,A
19,70,88.2,A
18.1,91.5,94.7,A
19.5,70.3,100,A
24.3,95.4,100,A
16.4,90.9,80.7,A
20,80.8,100,A
14.4,96.9,95.9,A
25.1,80.3,100,A
10.3,81.8,44.7,A
27.6,87.4,100,A
14.7,75.3,91.3,A
5,82.1,59.9,A
15.9,91.3,100,A
10.2,94.7,82.3,A
20.9,87.2,85.5,A
10.4,75.6,67.9,A
11.9,79.5,62.4,A
1.8,77.2,60.3,A
11.8,67.7,74.4,A
0,95.6,35.8,A
3.9,68.8,58.1,A
20.3,100,95.8,A
20.5,78.1,98.3,A
18,69.7,100,A
8.2,75.1,63.8,A
14.7,95.3,95.2,A
15,86.3,92.5,A
6.9,85,68.2,A
25.5,88.4,100,A
21.1,86.6,100,A
13.5,80.5,91.6,A
15.2,77.9,81.7,A
16.5,50,98.9,A
0.7,97.8,61.8,A
13.3,92.4,81.7,A
10.2,77.6,76.8,A
8,94,66.2,A
13,72.5,78.1,A
27.6,92.9,100,A
19.5,70.2,91.7,A
11,76,80.7,A
19,86.8,77.2,A
24.8,70.7,100,B
21.5,96.1,96.3,B
15.4,93.3,90.3,B
10.5,91.3,77.5,B
19.9,87.4,100,B
17.8,93.2,95.1,B
21.3,83.7,100,B
19.4,70.4,97.6,B
22.3,72.9,100,B
11.3,89.8,84.2,B
24.2,97.8,100,B
16.4,92.7,94.5,B
29.5,67.6,100,B
10.2,88.6,71.7,B
27.2,83.8,100,B
16.4,99.6,100,B
10.4,79.5,66.1,B
11.6,88.9,64.1,B
12.8,94.2,71.2,B
18,73.6,100,B
18.7,68.3,84.7,B
11,70.8,96.1,B
14.8,58.4,86.1,B
30,80.3,100,B
27.1,93.7,100,B
18.1,82.9,96.4,B
15.3,93.7,100,B
15.8,77.8,100,B
19.3,78.3,98.3,B
7.8,65.5,63.5,B
13.2,85.6,74.7,B
3.3,85.1,61.4,B
17.8,100,93.1,B
19.5,86,100,B
11.6,75.9,81.2,B
26,70,100,B
6.4,89.1,74.2,B
4.7,96.1,65.2,B
16.6,86.3,71.2,B
22.3,88.3,100,B
26.8,82.3,100,B
11.8,77.2,79.4,B
22.6,83.5,100,B
14.7,94.2,100,B
13.8,95,87.7,B
21.2,78,100,B
19.6,96.3,100,B
4,89.6,54.5,B
25.3,82.1,100,B
24.7,84.9,100,B
10.6,79.9,77.3,B
17.8,88.9,96.8,B
18.5,79.7,98.7,B
16.8,100,91.5,B
11.1,79.4,85.2,B
10.3,74.9,70.7,B
14.8,87.7,65.2,B
23.2,94.7,100,B
18.8,82.1,100,B
12.4,85.4,80.2,B
20.4,83.7,90,B
0,83.7,58.7,B
23,77.5,100,B
2.8,75.9,50.2,B
12.5,79.1,95.7,B
7.2,73.1,75.7,B
5.9,76.5,68.9,B
23.1,86.6,100,B
11.7,84.9,74.5,B
17.4,74.3,76.8,B
14.7,77.4,93.2,B
18.3,100,90.7,B
15.5,86.2,85.1,B
6,81.1,71.5,B
22,94.7,91.5,B
11.5,86.2,81,B
4.1,82.3,53.6,B
12,71.2,79.1,B
25.5,88.1,100,B
21,87.2,99.2,B
12.6,67.5,90.5,B
12.6,77.1,74.6,B
12.7,90.6,78.1,B
29.5,62.3,100,B
17.7,97.5,93,B
18,78.2,96.6,B
22.2,78.7,100,B
16.7,95.4,93.1,B
